    360 Trisopterus esmarkii	Gadiformes
    360 Pilumnus marshi	Decapoda
    360 Pilumnus lacteus	Decapoda
    360 Parapinnixa bouvier	Decapoda
    360 Callinectes sapidus	Decapoda
    355 Pachycheles susanae	Decapoda
    355 Pachycheles serratus	Decapoda
    350 Stypopodium zonale	Dictyotales
    350 Sargassum polyceratium	Fucales
    350 Sargassum hystrix	Fucales
    350 Clupea pallasii	Clupeiformes
    345 Oncaea sp.	Poecilostomatoida
    343 chironomid larvae	Diptera
    342 Metridia lucens	Calanoida
    336 Thalassia testudinum	Alismatales
    335 Micropanope nuttingi	Decapoda
    333 Spionidae	Spionida
    332 Pagurus bernhardus	Decapoda
    330 Oithona sp.	Cyclopoida
    330 Oikopleura dioica	Copelata
    330 Mithrax verrucosus	Decapoda
    330 Merlangius merlangus	Gadiformes
    330 Ammodytes hexapterus	Perciformes
    329 Chironomid larvae	Diptera
    327 Thysanoessa spinifera	Euphausiacea
    327 Hermit crabs	Decapoda
    325 Paraliomera longimana	Decapoda
    325 Microsetella rosea	Harpacticoida
    324 Maurolicus muelleri	Stomiiformes
    324 EUPHAUSIIDAE	Euphausiacea
    320 Pilumnus longleyi	Decapoda
    320 Pilumnus holosericus	Decapoda
    320 Pilumnus gemmatus	Decapoda
    320 Petrolisthes rosariensis	Decapoda
    320 Acartia spinata	Calanoida
    318 TEMORA LONGICORNIS	Calanoida
    318 Spyridia filamentosa	Ceramiales
    318 Gadidae	Gadiformes
    315 Salpidae	Salpida
    315 PAGURIDAE	Decapoda
    312 Sprattus sprattus	Clupeiformes
    312 Laurencia obtusata	Ceramiales
    312 Hippoglossoides platessoides	Pleuronectiformes
    312 Centroceras	Ceramiales
    312 Amphiroa	Corallinales
    312 Acanthophora spicifera	Ceramiales
    310 Oncaea meditteranea	Poecilostomatoida
    310 Oithona oculata	Cyclopoida
    310 Oithona colcarva	Cyclopoida
    308 Synalpheus latastei	Decapoda
    307 Chionoecetes opilio	Decapoda
    306 Hymenoptera	Hymenoptera
    306 Crangon allmanni	Decapoda
    306 Candacia sp.	Calanoida
    305 Eurydice littoralis	Isopoda
    304 decapods	Decapoda
    300 Thysanoessa sp.	Euphausiacea
    300 Micromesistius poutassou	Gadiformes
    300 Fritillaria haplostoma	Copelata
    300 Euphausia sp.	Euphausiacea
    300 Crangon	Decapoda
    297 Plecoptera	Plecoptera
    295 Themisto gaudichaudii	Amphipoda
    295 Decapod crustaceans	Decapoda
    294 Stomatopods	Stomatopoda
    294 Nematoscelis megalops	Euphausiacea
    294 Euphausia	Euphausiacea
    294 Calanoides acutus	Calanoida
    292 Mithrax ruber	Decapoda
    289 Sardinops sagax	Clupeiformes
    288 Thysanoessa macrura	Euphausiacea
    288 Temora longicornis	Calanoida
    288 Macropipus tuberculatus	Decapoda
    288 Foraminifera	Foraminiferida
    288 Calanus sp.	Calanoida
    285 Pugettia producta	Decapoda
    285 Cladocera	Diplostraca
    285 Carcinus maenas	Decapoda
    282 Sagitta sp.	Aphragmophora
    282 Processa sp.	Decapoda
