FBC:FB:SpecCode:10550	Ambassis agassizii	8	536
FBC:FB:SpecCode:10565	Nannoperca obscura	1	536
FBC:FB:SpecCode:10566	Macquaria australasica	16	536
FBC:FB:SpecCode:10567	Nannatherina balstoni	8	536
FBC:FB:SpecCode:1056	Rypticus saponaceus	4	536
FBC:FB:SpecCode:1057	Hemiramphus balao	17	536
FBC:FB:SpecCode:10596	Percilia irwini	3	536
FBC:FB:SpecCode:1059	Hemiramphus brasiliensis	9	536
FBC:FB:SpecCode:10603	Leiopotherapon aheneus	1	536
FBC:FB:SpecCode:10616	Filimanus xanthonema	2	536
FBC:FB:SpecCode:1061	Holocentrus adscensionis	23	536
FBC:FB:SpecCode:10622	Chalceus macrolepidotus	1	536
FBC:FB:SpecCode:10623	Scortum hillii	1	536
FBC:FB:SpecCode:10624	Scortum parviceps	3	536
FBC:FB:SpecCode:1062	Holocentrus rufus	6	536
FBC:FB:SpecCode:1063	Myripristis jacobus	28	536
FBC:FB:SpecCode:10645	Hemigrammus ocellifer	1	536
FBC:FB:SpecCode:1064	Kyphosus incisor	34	536
FBC:FB:SpecCode:1066	Bodianus pulchellus	2	536
FBC:FB:SpecCode:10676	Cyttus traversi	11	536
FBC:FB:SpecCode:1067	Bodianus rufus	30	536
FBC:FB:SpecCode:10684	Clinus spatulatus	3	536
FBC:FB:SpecCode:1068	Halichoeres radiatus	42	536
FBC:FB:SpecCode:10692	Congiopodus torvus	21	536
FBC:FB:SpecCode:10694	Paraliparis copei copei	3	536
FBC:FB:SpecCode:10697	Pristella maxillaris	1	536
FBC:FB:SpecCode:106	Gymnosarda unicolor	2	536
FBC:FB:SpecCode:10713	Milyeringa veritas	2	536
FBC:FB:SpecCode:10714	Mogurnda adspersa	7	536
FBC:FB:SpecCode:1071	Lachnolaimus maximus	30	536
FBC:FB:SpecCode:10725	Gasteropelecus sternicla	1	536
FBC:FB:SpecCode:1072	Lampris guttatus	15	536
FBC:FB:SpecCode:1073	Atractosteus spatula	6	536
FBC:FB:SpecCode:1075	Lepisosteus oculatus	9	536
FBC:FB:SpecCode:1076	Lepisosteus osseus	7	536
FBC:FB:SpecCode:1077	Lobotes surinamensis	8	536
FBC:FB:SpecCode:10783	Platycephalus endrachtensis	2	536
FBC:FB:SpecCode:10789	Conocara macropterum	3	536
FBC:FB:SpecCode:1078	Lophius gastrophysus	13	536
FBC:FB:SpecCode:10794	Glaucosoma magnificum	1	536
FBC:FB:SpecCode:10796	Puntius chola	3	536
FBC:FB:SpecCode:10798	Macrorhamphosodes uradoi	7	536
FBC:FB:SpecCode:1079	Megalops atlanticus	9	536
FBC:FB:SpecCode:107	Katsuwonus pelamis	12	536
FBC:FB:SpecCode:10815	Upeneus asymmetricus	2	536
FBC:FB:SpecCode:10818	Polypterus congicus	3	536
FBC:FB:SpecCode:1081	Aluterus schoepfii	16	536
FBC:FB:SpecCode:10824	Danio albolineatus	4	536
FBC:FB:SpecCode:1082	Cantherhines pullus	18	536
FBC:FB:SpecCode:10831	Devario devario	5	536
FBC:FB:SpecCode:1084	Scomberesox saurus	6	536
FBC:FB:SpecCode:1085	Agonostomus monticola	29	536
FBC:FB:SpecCode:1086	Mugil curema	6	536
FBC:FB:SpecCode:108	Orcynopsis unicolor	2	536
FBC:FB:SpecCode:10915	Gymnotus carapo	14	536
FBC:FB:SpecCode:10919	Marcusenius victoriae	2	536
FBC:FB:SpecCode:10920	Kryptopterus bicirrhis	1	536
FBC:FB:SpecCode:10922	Callichthys callichthys	11	536
FBC:FB:SpecCode:1092	Mulloidichthys martinicus	41	536
FBC:FB:SpecCode:1093	Mullus auratus	2	536
FBC:FB:SpecCode:1094	Pseudupeneus maculatus	31	536
FBC:FB:SpecCode:10959	Mormyrus caschive	1	536
FBC:FB:SpecCode:1095	Upeneus parvus	1	536
FBC:FB:SpecCode:10978	Centropomus robalito	11	536
FBC:FB:SpecCode:10994	Parupeneus forsskali	5	536
FBC:FB:SpecCode:11001	Cynoscion phoxocephalus	1	536
FBC:FB:SpecCode:11002	Cynoscion stolzmanni	1	536
FBC:FB:SpecCode:11028	Pollimyrus nigricans	3	536
FBC:FB:SpecCode:1103	Gymnothorax miliaris	1	536
FBC:FB:SpecCode:11050	Galaxias zebratus	2	536
FBC:FB:SpecCode:1105	Ophichthus ophis	2	536
FBC:FB:SpecCode:11079	Brycinus affinis	1	536
FBC:FB:SpecCode:1107	Lactophrys trigonus	67	536
FBC:FB:SpecCode:1109	Rhinesomus triqueter	62	536
FBC:FB:SpecCode:1110	Polydactylus octonemus	13	536
FBC:FB:SpecCode:1112	Polydactylus virginicus	5	536
FBC:FB:SpecCode:11133	Polycentrus schomburgkii	1	536
FBC:FB:SpecCode:11136	Cleithracara maronii	1	536
FBC:FB:SpecCode:11140	Mesonauta festivus	2	536
FBC:FB:SpecCode:11179	Distichodus nefasch	3	536
FBC:FB:SpecCode:1117	Pomacanthus arcuatus	44	536
FBC:FB:SpecCode:11180	Nannacara anomala	1	536
FBC:FB:SpecCode:11185	Symphysodon aequifasciatus	4	536
FBC:FB:SpecCode:11186	Symphysodon discus	1	536
FBC:FB:SpecCode:1118	Pomacanthus paru	41	536
FBC:FB:SpecCode:1119	Abudefduf saxatilis	46	536
FBC:FB:SpecCode:111	Rastrelliger kanagurta	2	536
FBC:FB:SpecCode:1120	Abudefduf taurus	24	536
FBC:FB:SpecCode:11211	Nannocharax machadoi	1	536
FBC:FB:SpecCode:1121	Chromis multilineata	19	536
FBC:FB:SpecCode:1122	Microspathodon chrysurus	26	536
FBC:FB:SpecCode:11235	Sphaerichthys osphromenoides	6	536
FBC:FB:SpecCode:1123	Anisotremus surinamensis	40	536
FBC:FB:SpecCode:1124	Anisotremus virginicus	35	536
FBC:FB:SpecCode:11258	Onigocia oligolepis	1	536
FBC:FB:SpecCode:1126	Haemulon album	43	536
FBC:FB:SpecCode:1128	Haemulon aurolineatum	46	536
FBC:FB:SpecCode:112	Sarda australis	3	536
FBC:FB:SpecCode:11307	Melanotaenia nigrans	1	536
FBC:FB:SpecCode:1131	Haemulon carbonarium	37	536
FBC:FB:SpecCode:11322	Barbus callensis	6	536
FBC:FB:SpecCode:11323	Pimelodella gracilis	1	536
FBC:FB:SpecCode:1132	Anchoa lyolepis	34	536
FBC:FB:SpecCode:1133	Anchoa hepsetus	49	536
FBC:FB:SpecCode:1134	Haemulon chrysargyreum	45	536
FBC:FB:SpecCode:1135	Haemulon flavolineatum	32	536
FBC:FB:SpecCode:11365	Barbus holotaenia	1	536
FBC:FB:SpecCode:1136	Haemulon macrostomum	11	536
FBC:FB:SpecCode:1138	Haemulon melanurum	49	536
FBC:FB:SpecCode:1139	Haemulon parra	7	536
FBC:FB:SpecCode:113	Sarda chiliensis	13	536
FBC:FB:SpecCode:11403	Labeobarbus marequensis	2	536
FBC:FB:SpecCode:1140	Haemulon plumierii	51	536
FBC:FB:SpecCode:1141	Haemulon sciurus	56	536
FBC:FB:SpecCode:11449	Labeobarbus polylepis	2	536
FBC:FB:SpecCode:1145	Orthopristis ruber	4	536
FBC:FB:SpecCode:1146	Pomadasys corvinaeformis	2	536
FBC:FB:SpecCode:11483	Serrivomer sector	1	536
FBC:FB:SpecCode:11491	Barbus thamalakanensis	1	536
FBC:FB:SpecCode:1149	Priacanthus arenatus	31	536
FBC:FB:SpecCode:114	Sarda orientalis	2	536
FBC:FB:SpecCode:11506	Barbus viviparus	1	536
FBC:FB:SpecCode:1150	Heteropriacanthus cruentatus	34	536
FBC:FB:SpecCode:1151	Nicholsina usta	1	536
FBC:FB:SpecCode:1152	Scarus coelestinus	21	536
FBC:FB:SpecCode:11542	Labeo forskalii	1	536
FBC:FB:SpecCode:1154	Scarus iseri	33	536
FBC:FB:SpecCode:1155	Scarus guacamaia	31	536
FBC:FB:SpecCode:1156	Scarus taeniopterus	31	536
FBC:FB:SpecCode:1157	Scarus vetula	25	536
FBC:FB:SpecCode:1158	Sparisoma aurofrenatum	37	536
FBC:FB:SpecCode:1159	Sparisoma chrysopterum	31	536
FBC:FB:SpecCode:115	Sarda sarda	11	536
FBC:FB:SpecCode:11600	Scopelosaurus harryi	3	536
FBC:FB:SpecCode:11609	Opsaridium zambezense	2	536
FBC:FB:SpecCode:1160	Sparisoma rubripinne	31	536
FBC:FB:SpecCode:1161	Sparisoma viride	33	536
FBC:FB:SpecCode:1164	Sparus aurata	35	536
FBC:FB:SpecCode:11657	Bothrocara brunneum	9	536
FBC:FB:SpecCode:1165	Bairdiella chrysoura	27	536
FBC:FB:SpecCode:11674	Margrethia obtusirostra	1	536
FBC:FB:SpecCode:11683	Thamnaconus hypargyreus	3	536
FBC:FB:SpecCode:11686	Valenciennellus tripunctulatus	3	536
FBC:FB:SpecCode:1168	Ctenosciaena gracilicirrhus	3	536
FBC:FB:SpecCode:116	Scomber australasicus	6	536
FBC:FB:SpecCode:1170	Cynoscion arenarius	25	536
FBC:FB:SpecCode:11712	Chauliodus danae	1	536
FBC:FB:SpecCode:11716	Gymnocanthus pistilliger	17	536
FBC:FB:SpecCode:11726	Bathophilus pawneei	2	536
FBC:FB:SpecCode:11730	Malacocottus zonurus	7	536
FBC:FB:SpecCode:11732	Psychrolutes phrictus	3	536
