Strigeata
Athecanephria
Lampridiformes
Leptothecatae
Sessilida
Conodontophorida
Bourgueticrinida
Pectinida
Euglenida
Acanthochitonida
Marsupicarnivora
Scopalinida
Neritopsina
Hiodontiformes
Caenogastropoda
Longamoebia
Isoptera
Linguliporida
Globigerinida
Cetartiodactyla
Echiuroinea
Flosculariacea
Trochida
Polyopisthocotylea
Cocconeidales
Rhinobatiformes
Mytilida
Ephippiformes
Lepadiformes
Ptenoglossa
Hirudinida
Cubomedusae
Oweniida
Cryptonemiales
[unassigned] Caenogastropoda
Albuliformes
Agyriales
Aspidosiphonidormes
Nebaliacea
Chaetodontiformes
Aciculata
Sycettida
Holocentriformes
Microsporida
Onychopoda
Desmacellida
Labriformes
Prinsiales
Koralionastetales
Gonorhynchiformes
Sternaspida
Sipunculoidea
Chlorodendrales
Pezizales
Cupressales
Isochrysidales
Xenopneusta
Petrosiida
Pleurostomatida
Myida
Buliminida
Opisthopora
Centrarchiformes
Kurtiformes
Strigeatida
Sarcoptiformes
Xiphosurida
Ctenodrilida
Chlorococcales
Sepioidea
Lecanorales
Alepocephaliformes
Limida
Unionida
Acrosiphoniales
Molpadida
Anabantiformes
Velatida
Thalassionemales
Suberitida
Chaetopterida
Ostreida
Carditida
Teuthoidea
Gordioidea
Kiebsormidiales
[unassigned] Euheterodonta
Phlebobranchia
Capnodiales
Trachylina
Panagrolaimida
Pempheriformes
Stigonematales
Vampyromorphida
Anomopoda
Hoplonemertea
Arbacoida
Euglyphida
Ralfsiales
Pleurocapsales
Zoanthinaria
Eurotiales
Istiophoriformes
Testaceafilosida
Polystilifera
Phallales
Galaxiiformes
Enteropneusta
Leptomedusae
Semionotiformes
Exobasidiales
Phrynophiurida
Isobryales
Chamaesiphonales
Trochiliformes
Chordariales
Adapedonta
Cantharellales
Peniculida
Chaetocerotanae
Insectivora
Cycloneritida
Scolecida
Veneroidei
Siphonocladales
Compsopogonales
Siphonophora
Pyrosomida
Echinostomida
Spirularia
Ciconiiformes
Spariformes
Lepetellida
Longipterygiformes
Laevicaudata
Flabelligerida
Verrucariales
Russulales
Suliformes
Uranoscopiformes
Thecamoebida
Collothecacea
Protostelida
Magelonida
Arcida
Tubificida
Monopisthocotylea
Chondrophora
Acnanthales
Dothideales
Crocodilia
Blenniiformes
Solemyida
Aspidosiphonida
Lobotiformes
Seriata
Mobilida
Chondrosida
Acanthuriformes
