Acanthochitonida
Acanthuriformes
Aciculata
Acnanthales
Acrosiphoniales
Adapedonta
Agyriales
Albuliformes
Alepocephaliformes
Amphilepidida
Anabantiformes
Anomopoda
Arbacoida
Arcida
Aspidosiphonida
Aspidosiphonidormes
Athecanephria
Basommatophora
Blenniiformes
Bourgueticrinida
Buliminida
Caenogastropoda
Cantharellales
Capnodiales
Carditida
Centrarchiformes
Ceratitida
Cetartiodactyla
Chaetocerotanae
Chaetodontiformes
Chaetopterida
Chamaesiphonales
Chlorococcales
Chlorodendrales
Chondrophora
Chondrosida
Chordariales
Ciconiiformes
Cocconeidales
Collothecacea
Compsopogonales
Conodontophorida
Crocodilia
Cryptonemiales
Ctenodrilida
Cubomedusae
Cupressales
Cycloneritida
Desmacellida
Dothideales
Echinostomida
Echiuroinea
Ephippiformes
Euglenida
Euglyphida
Eurotiales
Exobasidiales
Flabelligerida
Flosculariacea
Funariales
Galaxiiformes
Globigerinida
Gonorhynchiformes
Gordioidea
Haplopoda
Hiodontiformes
Hirudinida
Holocentriformes
Hoplonemertea
Hymenostomatida
Insectivora
Isobryales
Isochrysidales
Isoptera
Istiophoriformes
Kiebsormidiales
Kurtiformes
Labriformes
Laevicaudata
Lampridiformes
Lecanorales
Lepadiformes
Leptomedusae
Leptothecatae
Limida
Linguliporida
Lobotiformes
Longamoebia
Longipterygiformes
Lutjaniformes
Magelonida
Mantodea
Marsupicarnivora
Microsporida
Mobilida
Molpadida
Monopisthocotylea
Myida
Mytilida
Nebaliacea
Neritopsina
Onychopoda
Ophidia
Opisthopora
Ostreida
Oweniida
Panagrolaimida
Pectinida
Pempheriformes
Petrosiida
Pezizales
Phallales
Phasmida
Phlebobranchia
Phrynophiurida
Pleurocapsales
Pleurostomatida
Polyopisthocotylea
Prinsiales
Protostelida
Ralfsiales
Rhinobatiformes
Russulales
Sarcoptiformes
Scolecida
Scopalinida
Semionotiformes
Sepioidea
Seriata
Sessilida
Siphonocladales
Siphonophora
Sipunculoidea
Solemyida
Spariformes
Spirularia
Sternaspida
Stigonematales
Strigeata
Strigeatida
Suberitida
Sycettida
Systellommatophora
Testaceafilosida
Teuthoidea
Thalassionemales
Thecamoebida
Thermoanaerobacterales
Trachylina
Trochida
Trochiliformes
Tubificida
[unassigned] Caenogastropoda
[unassigned] Euheterodonta
Unionida
Uranoscopiformes
Vampyromorphida
Velatida
Veneroidei
Verrucariales
Xenopneusta
Xiphosurida
Zoanthinaria
