Pezizomycetes
Diplura
Glaucocystophyceae
Demospongea
Florideophycidae
Pheaophyceae
Polyhymenophora
Hirudinea
Chondrostei
Zygnemophyceae
Cladistia
Conodonta
Enoplea
Petromyzonti
Sedentaria
Lycopsida
Oligohymenophora
Cladistei
Filicopsida
Echiuroidea
Microsporea
Ichthyostraca
Adenophorea
Tubulinea
Imbricatea
Gymnostomatea
Cyanophyta
Chlamydiia
Filosa
Bacili
Exobasidiomycetes
Prasinophyceae
Holocephali
Priapulimorpha
Glaucophyta
Polycystinea
Protostelea
Holostei
Eurotiomycetes
Sarcopterygii
