id	name	Anthozoa	Cnidaria_other	Polychaeta	Clitellata	Annelida_other	Polyplacophora	Bivalvia	Gastropoda	Cephalopoda	Mollusca_other	Brachiopoda	Ostracoda	Maxillopoda	Malacostraca	Insecta	Arthropoda_other	Ophiuroidea	Echinoidea	Holothuroidea	Echinodermata_other	Actinopterygii	Chondrichthyes	Amphibia	Reptilia	Aves	Mammalia	Chordata_other	Animalia_other	Plantae	Categories_total	Categories_matched
48	Parablennius gattorugine	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	29	7
49	Blennius ocellaris	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	29	7
51	Brosme brosme	0	0	1	0	1	0	1	0	0	1	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	29	13
52	Buenia jeffreysii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	29	3
53	Buglossidium luteum	0	0	1	0	1	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	29	11
54	Capros aper	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	29	8
55	Centrolabrus exoletus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	29	1
56	Cepola macrophthalma	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	29	8
57	Chirolophis ascanii	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	29	5
58	Coris julis	0	0	1	0	1	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	29	10
59	Symphodus melops	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	1	29	17
60	Crystallogobius linearis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	29	4
61	Ctenolabrus rupestris	0	0	1	0	1	0	1	1	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	29	14
62	Cyclopterus lumpus	0	1	1	0	1	0	1	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1	1	29	16
63	Dicentrarchus labrax	0	0	1	0	1	0	1	0	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	29	15
64	Diplecogaster bimaculata	0	0	1	0	1	0	1	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	29	14
65	Echiodon drummondii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	29	3
66	Engraulis encrasicolus	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	1	1	29	17
67	Entelurus aequoreus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	29	3
68	Eutrigla gurnardus	0	0	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	29	20
69	Gadus morhua	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	29	27
71	Caranx hippos	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	29	8
72	Gobius niger	0	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	29	15
73	Gobius paganellus	0	0	1	0	1	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	29	13
74	Gobiusculus flavescens	0	0	1	0	1	0	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	29	11
75	Gymnammodytes semisquamatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	29	1
76	Helicolenus dactylopterus	1	1	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	29	18
77	Istiophorus platypterus	0	0	0	0	1	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	1	1	0	0	0	1	1	1	0	29	13
78	Istiophorus albicans	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	29	7
79	Ctenopharyngodon idella	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	29	3
80	Chanos chanos	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	1	29	11
81	Aphareus furca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	29	4
82	Labeo rohita	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	29	5
83	Aphareus rutilans	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	29	4
84	Aprion virescens	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	29	10
85	Apsilus dentatus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	29	4
86	Apsilus fuscus	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	29	6
87	Etelis carbunculus	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	29	7
88	Lamna nasus	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	1	1	1	29	12
89	Acanthocybium solandri	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	1	1	1	29	11
90	Cetorhinus maximus	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	29	6
91	Allothunnus fallai	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	0	1	0	1	1	0	29	12
92	Acanthostracion quadricornis	1	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	29	11
93	Auxis rochei	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	29	6
94	Auxis thazard	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	29	8
