	Strombus sp.	GBIF:9114823	Strombus
	Electrona carlsbergi	FBC:FB:SpecCode:6985	Electrona carlsbergi
	Ralfsia sp.	GBIF:3199693	Ralfsia
	Chama	IRMNG:1347202	Chama
	Ammodytes spp	IRMNG:1219518	Ammodytes
	Amphora sp.	NCBI:1938432	Curculionidae
	Sesarma reticulatum	WORMS:240974	Sesarma
	Sesarma reticulatum	WORMS:450468	Sesarma
	Shrimp parts	NCBI:1125798	Caridae
	daphnia	EOL:6913	Daphniidae
	MYSIS	WORMS:119886	Mysis
	Dipteran (not Chironomidae) larvae	NCBI:1187305	Diptera
	Calanus nauplii	OTT:123516	Cannula
	aquatic Diptera	NCBI:1187394	Diptera
	Truncatella	NCBI:301132	Truncatella
	Stichosiphon	GBIF:8078994	Stichosiphon
	Anodonta	WORMS:857057	Anodonta
	DITRUPA SPP	IRMNG:1370068	Ditrupa
	Simocephalus vetulus	IRMNG:1359856	Simocephalus
	CALANUS FINMARCHICUS	NCBI:6837	Calanus finmarchicus
	Tanytarsus type 'blunt'	NCBI:1712160	Tanytarsus
	Lyngbya sp. 3	OTT:5254280	Lyngbya
	Lymnaea auricularia	EOL:453246	Radix auricularia
	Loligo v. reynaudii	IRMNG:1286648	Loligo
	Yoldia seminuda	GBIF:2285496	Yoldia seminuda
	Anemonia sulcata	IRMNG:10165352	Anemonia sulcata
	Sphaerium tenue	ITIS:41585	Coix
	Mugil Cephalus	NCBI:48193	Mugil cephalus
	Asterias	GBIF:2270462	Asterias
	Cricotopus II	ITIS:128575	Cricotopus
	Blow fly larvae	OTT:5847576	Lucilia
	Pipefish	GBIF:5901	Syngnathidae
	Petalonia sp.	NCBI:1583038	Petalonia
	aquatic Diptera larvae	NCBI:1187308	Diptera
	Diptera pupae	NCBI:1187401	Diptera
	Ebalia sp.	WORMS:106889	Ebalia
	barnacle	OTT:959165	Balanidae
	Cirrhinus spp.	GBIF:5206439	Cirrhinus
	Fishes	WORMS:11676	Pisces
EOL:579558	Apium graveolens	OTT:568590	Apium graveolens
EOL:8043	Picornavirus	OTT:4893091	Picornaviridae
	Scomber scombrus	EOL:206784	Scomber japonicus
	Scarus evermanni	OTT:563714	Scarus
	MACROPIPUS (LIOCARCINUS) PUBER	WD:Q853487	Necora puber
	dipteran pupae	NCBI:1187361	Diptera
	dipteran pupae	NCBI:1187375	Diptera
	Dictyopteris sp.	GBIF:3200498	Dictyopteris
	Portunus spp.	WORMS:439967	Portunus
	Beetle	NCBI:1187189	Coleoptera
EOL:10930	Firecorals	OTT:5675888	Millepora
	Halimeda sp.	NCBI:1868643	Halimeda
	MYSTACIDES SPP	GBIF:1435538	Mystacides
